fpr,tpr,threshold
0.0,0.0,inf
0.0,0.041666666666666664,0.996020495891571
0.0,0.75,0.9086007475852966
0.011210762331838564,0.75,0.021036095917224884
0.011210762331838564,0.7916666666666666,0.010506504215300083
0.013452914798206279,0.7916666666666666,0.00957504939287901
0.013452914798206279,0.8333333333333334,0.008566333912312984
0.01569506726457399,0.8333333333333334,0.008539790287613869
0.01569506726457399,0.9166666666666666,0.007911069318652153
0.02242152466367713,0.9166666666666666,0.004686353262513876
0.02242152466367713,1.0,0.003816986922174692
0.04484304932735426,1.0,0.0007702976581640542
0.04932735426008968,1.0,0.0007504929671995342
0.05829596412556054,1.0,0.000646812841296196
0.06726457399103139,1.0,0.0006399796693585813
0.07623318385650224,1.0,0.0005450930912047625
0.08071748878923767,1.0,0.0005343543598428369
0.20179372197309417,1.0,0.00028261798433959484
0.2062780269058296,1.0,0.0002825845731422305
0.47085201793721976,1.0,0.00014748790999874473
0.47533632286995514,1.0,0.00014724693028256297
0.6771300448430493,1.0,9.334916103398427e-05
0.6816143497757847,1.0,9.225290705217049e-05
0.7757847533632287,1.0,6.701821985188872e-05
0.7802690582959642,1.0,6.656802725046873e-05
0.8251121076233184,1.0,5.0878108595497906e-05
0.8318385650224215,1.0,4.934282333124429e-05
0.852017937219731,1.0,4.6709683374501765e-05
0.8565022421524664,1.0,4.6588495024479926e-05
0.905829596412556,1.0,3.440848013269715e-05
0.9103139013452914,1.0,3.414825914660469e-05
1.0,1.0,7.0301607593137305e-06
